unit_id,sentence,role,prev,next,speakers,targets,source,date,target_l1,sample_score,sampling_reason
_2a54f30a0908_u005,"經濟部表示,為因應疫後與全球氣候變遷所伴隨複雜的社會挑戰,「社會創新行動方案2.0」將串聯政府機關、企業部門、非營利組織、公民等多方力量的公私民夥伴關係(Public-Private-People Partnership),以加速推進社會創新政策,建立我國典範案例,與國際社會分享交流,於全球永續議題擴散社會影響力,進而打造創新包容永續的韌性台灣。",claim,"陳建仁指出,本方案在政委李永得督導下,以「社會創新行動方案1.0」的推動成果為基礎,由過去12個參與部會,再新增納入數位發展部、交通部、環境保護署、客家委員會、海洋委員會等5個部會,並由經濟部擔任行政幕僚,接續彙整提出「社會創新行動方案2.0」。","經濟部表示,社會創新組織類型廣泛並涵蓋多元議題,我國目前已有超過841家社會創新組織、184家支持社創的產業夥伴(包括上市櫃公司等)、帶動超過2萬就業人數;",[],[],02_Ke_ltn_news,2023-06-15 11:27:41,L1-15,16.3,targeted_gap_filling
_22bae0f8a1ca_u003,"賴清德表示,世界局勢正在劇烈變化,台灣必須團結一致,將數位轉型及2050淨零轉型的挑戰化為進步的動力,他將推動7大主張,包含發展「五大信賴產業」、打造智慧科技島、建構「以人為本」智慧新社會、推動金融創新與發展、創新創業雨林生態系、發展護國群山、綠色成長新戰略,以此迎向新的國際經貿體系,善用自由民主國家同盟的身分、站穩全球供應鏈關鍵角色,推動創新驅動的經濟發展模式,打造人人擁有能力與公平機會追求自我實現的創新經濟與智慧國家。",claim,目標5年內創造2萬個新創就業、新創投資金額每年達1500億元、10年內讓台灣成為創新解決方案的淨輸出國。,"賴清德表示,他會持續推動蔡英文總統提出的「六大核心戰略產業」,進一步發展半導體、人工智慧、軍工、安控及通訊等「五大信賴產業」,支持台灣產業立足台灣、佈局全球、行銷全世界,成為全球供應鏈可信任的夥伴,包含協助企業建立跨國雙向研發中心,","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],03_Lai_ltn_news,2023-10-03 11:58:35,L1-15,15.8,targeted_gap_filling
_22bae0f8a1ca_u003,"賴清德表示,世界局勢正在劇烈變化,台灣必須團結一致,將數位轉型及2050淨零轉型的挑戰化為進步的動力,他將推動7大主張,包含發展「五大信賴產業」、打造智慧科技島、建構「以人為本」智慧新社會、推動金融創新與發展、創新創業雨林生態系、發展護國群山、綠色成長新戰略,以此迎向新的國際經貿體系,善用自由民主國家同盟的身分、站穩全球供應鏈關鍵角色,推動創新驅動的經濟發展模式,打造人人擁有能力與公平機會追求自我實現的創新經濟與智慧國家。",claim,目標5年內創造2萬個新創就業、新創投資金額每年達1500億元、10年內讓台灣成為創新解決方案的淨輸出國。,"賴清德表示,他會持續推動蔡英文總統提出的「六大核心戰略產業」,進一步發展半導體、人工智慧、軍工、安控及通訊等「五大信賴產業」,支持台灣產業立足台灣、佈局全球、行銷全世界,成為全球供應鏈可信任的夥伴,包含協助企業建立跨國雙向研發中心,","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],02_Ke_ltn_news,2023-10-03 11:58:35,L1-15,15.8,targeted_gap_filling
_22bae0f8a1ca_u003,"賴清德表示,世界局勢正在劇烈變化,台灣必須團結一致,將數位轉型及2050淨零轉型的挑戰化為進步的動力,他將推動7大主張,包含發展「五大信賴產業」、打造智慧科技島、建構「以人為本」智慧新社會、推動金融創新與發展、創新創業雨林生態系、發展護國群山、綠色成長新戰略,以此迎向新的國際經貿體系,善用自由民主國家同盟的身分、站穩全球供應鏈關鍵角色,推動創新驅動的經濟發展模式,打造人人擁有能力與公平機會追求自我實現的創新經濟與智慧國家。",claim,目標5年內創造2萬個新創就業、新創投資金額每年達1500億元、10年內讓台灣成為創新解決方案的淨輸出國。,"賴清德表示,他會持續推動蔡英文總統提出的「六大核心戰略產業」,進一步發展半導體、人工智慧、軍工、安控及通訊等「五大信賴產業」,支持台灣產業立足台灣、佈局全球、行銷全世界,成為全球供應鏈可信任的夥伴,包含協助企業建立跨國雙向研發中心,","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],01_Ho_ltn_news,2023-10-03 11:58:35,L1-15,15.8,targeted_gap_filling
_6b2d5450c3a4_u004,"阿里歐拉致詞感謝我國頒贈勳章,並讚揚台灣是富有創造力、韌性及樂於助人的國家,巴拉圭堅信只有台灣人民有權決定台灣的未來,並支持台灣的國際參與,相信台灣能為世界做出有價值的貢獻,與國際社會共同解決當前面臨的挑戰。",claim,"阿里歐拉致力促進台巴邦誼及台海區域和平穩定,積極推展台巴兩國雙邊合作計畫,促進雙邊經貿交流,提升兩國人民的福祉。","阿里歐拉強調,台巴兩國共享民主、自由及人權等普世價值,巴拉圭將持續與台灣並肩站在一起。",[],[],02_Ke_ltn_news,2023-02-16 21:53:51,L1-15,14.3,targeted_gap_filling
_f6db20f1037c_u010,"賴指出,他們討論的不是流量很高的話題,卻是國家需要被重視的事情,現階段國際情勢複雜,面對威權主義擴張、氣候變遷、淨零轉型及數位轉型等艱鉅挑戰,台灣必須維持均衡、開放、進步的正確方向,才能站穩國際舞台,同時也要持續尊重多元、關心弱勢、建立公義社會。",claim,賴清德昨晚也在臉書分享與蔡英文總統、行政院長陳建仁開會的「工作日常」。,"賴清德說,七年來民進黨累積許多執政成果,台灣正走在正確的路上,台灣是自由民主陣營的重要夥伴,接下來,民進黨會繼續扛起責任、壯大國家,打造台灣成為更民主、更繁榮、更和平的國度。",[],[],01_Ho_ltn_news,2023-05-18 05:30:00,L1-15,14.3,targeted_gap_filling
_10d47dfdf6b1_u004,"透過 Google News 賴清德說,朝野雖屬不同政黨,只不過是競爭對手,面對中國威脅及國際挑戰,國內應該要團結,國家利益高於政黨利益,政黨利益高於個人利益,以民主力量、國家認同團結台灣社會及朝野政黨。",claim,"賴清德表示,他將落實愛、和平、非暴力的民進黨核心價值,照顧基層,擴大投資社會,且秉持和平理念處理兩岸關係,「總統蔡英文說和平是唯一的選擇,和平也是未來清德的使命」,用和平當燈塔,民主做指南針,帶領人民勇敢向前走。","賴清德表示,他將發揮醫療專才,打造健康台灣,讓民眾更健康,世界擁抱台灣,並堅定打擊黑、金、槍、毒、詐騙,建立良好治安環境,世代安居樂業。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""國家認同|identity""]",03_Lai_chinatimes_news,2023-11-04 12:45:00,L1-15,14.3,targeted_gap_filling
_f6db20f1037c_u010,"賴指出,他們討論的不是流量很高的話題,卻是國家需要被重視的事情,現階段國際情勢複雜,面對威權主義擴張、氣候變遷、淨零轉型及數位轉型等艱鉅挑戰,台灣必須維持均衡、開放、進步的正確方向,才能站穩國際舞台,同時也要持續尊重多元、關心弱勢、建立公義社會。",claim,賴清德昨晚也在臉書分享與蔡英文總統、行政院長陳建仁開會的「工作日常」。,"賴清德說,七年來民進黨累積許多執政成果,台灣正走在正確的路上,台灣是自由民主陣營的重要夥伴,接下來,民進黨會繼續扛起責任、壯大國家,打造台灣成為更民主、更繁榮、更和平的國度。",[],[],03_Lai_ltn_news,2023-05-18 05:30:00,L1-15,14.3,targeted_gap_filling
_1271d4c9b259_u008,"菲利佩六世在今年的耶誕夜演說中,選擇忽略西班牙國內的其他問題和國際社會的戰亂危機,全場都在讚揚西班牙憲法的民主價值,以及西班牙的團結統一。",claim,"此外,西班牙法學界人士和媒體也針對「特赦法案」的合憲性辯論不休。","菲利佩六世強調,憲法是西班牙歷史上最重大的政治成功。",[],[],03_Lai_chinatimes_news,2023-12-27 18:21:00,L1-15,14.3,targeted_gap_filling
_81e29bf712fa_u001,"(記者鄭淑婷攝) 2024/01/03 22:43 〔記者鄭淑婷/桃園報導〕台灣大學政治系名譽教授明居正今(3)以「當今中國政治經濟社會的挑戰」為題發表演說,他提到,除了國際政治、主流國家反共保台作為等,中共現今面臨經濟財政、社會問題及政治鬥爭,是阻止其攻打台灣的三大內部因素,也凸顯中共其實並不強大而且弊病叢生。",claim,"台灣大學政治系名譽教授明居正以「當今中國政治經濟社會的挑戰」為題發表演說,他提到,中共現今面臨經濟財政、社會問題及政治鬥爭,是阻止其攻打台灣的三大內部因素。","明居正表示,中共內部因素首先就是經濟財政問題,從簡單的經濟成長理論來看,中國經濟發展從一九八○年開始加速至今已逾四十年,勞動力、土地、水電材料成本低廉的三大紅利早已用罄,這是中國經濟結構的「關鍵性缺陷」,加上武漢肺炎衝擊、香港問題、三年水災衝擊、屬高度借貸型經濟、糧食短缺、外匯存底短缺、國家財政困難、國進民退(國企進,民企退)政策錯誤、基礎產能不斷外移致掙外匯能力打折、未掌握核心技術僅是超大型加工出口區等,是中國經濟的根本缺陷所在。",[],[],02_Ke_ltn_news,2024-01-03 22:43:36,L1-15,14.3,targeted_gap_filling
