unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,source,date,target_l1,sample_score,score_reasons,sampling_reason
_ddd7b37896f1_u000,"賴清德:核安核廢若解決且有共識 不會排斥科技帶來便利 2023/11/29 13:06 (11/29 15:03 更新) (中央社記者葉素萍台北29日電)民進黨總統參選人賴清德接受Yahoo TV節目專訪,被問到未來核能或核融合可能發展時表示,如果未來科技進步到相當程度,可以解決核能安全、核廢料的問題,民眾又有共識,台灣是個進步的社會,不會排斥科技所帶來的便利。",claim,,"不過,賴清德也說明,在還沒有明確的時程表,這些新的核能要問世之前,綠能一定要持續發展。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]","[""核能|energy""]",False,,03_Lai_chinatimes_news,2023-11-29 13:06:00,L1-05,9.3,l2_L2-03|l2_L2-05|l2_L2-07|l2_L2-13|l2_L2-14|l2_L2-15|has_speaker|has_target|claim|good_length,l1_gap_filling
_20afb2de1725_u013,"(編輯:林克倫、蘇龍麒)1121208 柯文哲:反對去中化 不必因競爭就丟棄中國文化 柯文哲循蔡總統外交路線 侯友宜:我主張親美和中 2024大選 總統電視辯論會12/30下午登場 前白宮官員:台灣兵役延長若推翻 美日會擔憂 中國疑介選招待北市里長揪團旅遊 檢方掌握4案 涉招待60人赴中國旅遊宣傳和平統戰 台灣新住民關懷總會3人聲押 余天破流言站台相挺 賴清德提新北發展核心動力願景 蔡總統彰化市參香 盼鄉親支持黃秀芳連任立委 習近平要求政治局委員不能只報喜不報憂 美商務部長:華府不認為中國對台灣論調有變化 2024/01/22 16:57 2024/01/15 11:44 2024/01/14 21:26 2024/01/14 20:59 2024/01/14 20:34 2024/01/14 20:09 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",claim,"賴清德指出,台灣是國際社會的一員,處在第一島鏈的關鍵位置,應該可以扮演更積極角色,展現守護國家的決心,不能因為4個月役期比較輕鬆、就做出重新恢復的選擇,靠實力獲得的和平,才是真和平。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}]","[""辯論|procedure""]",True,debate/manifesto,03_Lai_chinatimes_news,2023-12-08 22:51:00,L1-05,8.3,l2_L2-03|l2_L2-04|l2_L2-06|l2_L2-10|l2_L2-12|has_speaker|has_target|procedural|claim,l1_gap_filling
_5b4a8fdfb191_u015,"被NHK記者田中問及「如果當選總統,想與日本展開或加強哪一方面的合作」的問題時,賴清德答說:「全方位的合作。」 他說,因為台日歷史淵源深厚、人民感情非常好,為了台日兩國的福祉,或者是為了印太的和平穩定,甚至於在全球產業鏈重組的時候,台日共同合作可造福全世界的經濟發展,台日應該要全方位的合作。",claim,"他認為,目前習近平的戰略不僅是對國際社會沒有幫助、帶來破壞,也對中國的發展帶來負面的影響。","NHK記者田中被NHK攝影棚內的女主播問及實際專訪賴清德後,對賴清德的印象如何?","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,03_Lai_chinatimes_news,2023-10-06 00:55:00,L1-05,8.3,boundary_semantic|l2_L2-03|l2_L2-04|l2_L2-06|has_speaker|has_target|claim|good_length,l1_gap_filling
_20afb2de1725_u013,"(編輯:林克倫、蘇龍麒)1121208 柯文哲:反對去中化 不必因競爭就丟棄中國文化 柯文哲循蔡總統外交路線 侯友宜:我主張親美和中 2024大選 總統電視辯論會12/30下午登場 前白宮官員:台灣兵役延長若推翻 美日會擔憂 中國疑介選招待北市里長揪團旅遊 檢方掌握4案 涉招待60人赴中國旅遊宣傳和平統戰 台灣新住民關懷總會3人聲押 余天破流言站台相挺 賴清德提新北發展核心動力願景 蔡總統彰化市參香 盼鄉親支持黃秀芳連任立委 習近平要求政治局委員不能只報喜不報憂 美商務部長:華府不認為中國對台灣論調有變化 2024/01/22 16:57 2024/01/15 11:44 2024/01/14 21:26 2024/01/14 20:59 2024/01/14 20:34 2024/01/14 20:09 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",claim,"賴清德指出,台灣是國際社會的一員,處在第一島鏈的關鍵位置,應該可以扮演更積極角色,展現守護國家的決心,不能因為4個月役期比較輕鬆、就做出重新恢復的選擇,靠實力獲得的和平,才是真和平。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}]","[""辯論|procedure""]",True,debate/manifesto,02_Ke_chinatimes_news,2023-12-08 22:51:00,L1-05,8.3,l2_L2-03|l2_L2-04|l2_L2-06|l2_L2-10|l2_L2-12|has_speaker|has_target|procedural|claim,l1_gap_filling
_5b4a8fdfb191_u015,"被NHK記者田中問及「如果當選總統,想與日本展開或加強哪一方面的合作」的問題時,賴清德答說:「全方位的合作。」 他說,因為台日歷史淵源深厚、人民感情非常好,為了台日兩國的福祉,或者是為了印太的和平穩定,甚至於在全球產業鏈重組的時候,台日共同合作可造福全世界的經濟發展,台日應該要全方位的合作。",claim,"他認為,目前習近平的戰略不僅是對國際社會沒有幫助、帶來破壞,也對中國的發展帶來負面的影響。","NHK記者田中被NHK攝影棚內的女主播問及實際專訪賴清德後,對賴清德的印象如何?","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,02_Ke_chinatimes_news,2023-10-06 00:55:00,L1-05,8.3,boundary_semantic|l2_L2-03|l2_L2-04|l2_L2-06|has_speaker|has_target|claim|good_length,l1_gap_filling
_20afb2de1725_u013,"(編輯:林克倫、蘇龍麒)1121208 柯文哲:反對去中化 不必因競爭就丟棄中國文化 柯文哲循蔡總統外交路線 侯友宜:我主張親美和中 2024大選 總統電視辯論會12/30下午登場 前白宮官員:台灣兵役延長若推翻 美日會擔憂 中國疑介選招待北市里長揪團旅遊 檢方掌握4案 涉招待60人赴中國旅遊宣傳和平統戰 台灣新住民關懷總會3人聲押 余天破流言站台相挺 賴清德提新北發展核心動力願景 蔡總統彰化市參香 盼鄉親支持黃秀芳連任立委 習近平要求政治局委員不能只報喜不報憂 美商務部長:華府不認為中國對台灣論調有變化 2024/01/22 16:57 2024/01/15 11:44 2024/01/14 21:26 2024/01/14 20:59 2024/01/14 20:34 2024/01/14 20:09 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",claim,"賴清德指出,台灣是國際社會的一員,處在第一島鏈的關鍵位置,應該可以扮演更積極角色,展現守護國家的決心,不能因為4個月役期比較輕鬆、就做出重新恢復的選擇,靠實力獲得的和平,才是真和平。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}]","[""辯論|procedure""]",True,debate/manifesto,01_Ho_chinatimes_news,2023-12-08 22:51:00,L1-05,8.3,l2_L2-03|l2_L2-04|l2_L2-06|l2_L2-10|l2_L2-12|has_speaker|has_target|procedural|claim,l1_gap_filling
_8dd8b5738117_u007,"他還說,中國將繼續大力推動「中國特色大國外交」,「廣交朋友,為動蕩不安的國際環境增添穩定性」。",claim,"提到港澳台時,習近平稱香港回歸祖國已25週年,香港及澳門都「保持繁榮穩定」,「我們堅定開展反分裂、反干涉重大鬥爭,牢牢把握兩岸關係主動權」。",不用抽 不用搶 現在用APP看新聞 保證天天中獎點我下載APP按我看活動辦法,[],[],False,,03_Lai_ltn_news,2023-01-20 19:02:50,L1-05,7.8,boundary_semantic|l2_L2-04|l2_L2-10|l2_L2-11|has_speaker|has_target|claim,l1_gap_filling
_776e581b1d5a_u023,"王希說,「教育體系需要媒體識讀課程,但老師不知道該如何授課。他們只能教授如何以批判性角度閱讀報紙,但學生們根本不看報紙。」(譯者:施施/核稿:陳政一)1120814 學者:中共滲透台灣宮廟組織 媽祖文化也成統戰工具 馬斯克毀推特?",claim,"近9成學生認為他們曾在網路上看過假消息,但2/3學生從未或很少進行「事實查核」。","專家批假消息增加、付費訂閱制可能勸退用戶 馬來西亞6州選舉 TikTok影響力不容小覷 英官方數據:TikTok成英國12至15歲民眾主要新聞來源 轉傳不實選務資訊可能觸法 6查證管道辨真假 美中交惡 路透民調:美國人近半數支持禁止TikTok 紐約市跟進多地決定 禁止公務裝置使用TikTok 蘿蔔刀進入校園 雲林教育處發文禁學生攜帶 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",[],[],False,,02_Ke_chinatimes_news,2023-08-14 18:50:00,L1-05,7.3,boundary_semantic|l2_L2-06|l2_L2-12|has_speaker|has_target|claim|good_length,l1_gap_filling
_a6134440dd7f_u006,"俞大㵢說,推動元首外交 增進與友邦高層情誼是政府外交工作的重點之一,阿布鐸曾在今年2月率團來台訪問,展現台巴兩國傳統友好邦誼,潘尼亞也剛在7月11日到15日以總統當選人身分率團來台訪問。",claim,"俞大㵢表示,特使團訂於8月14日上午抵達巴拉圭進行訪問,15日參加潘尼亞總統就職典禮,賴副總統同時也將參加巴拉圭慶祝總統就職暨首都亞松森建城486年週年相關活動,期間,賴副總統將會晤阿布鐸與潘尼亞,就彼此共同關切的雙邊合作事項與國際議題交換意見。","他說,此行賴副總統代表政府與人民,赴巴拉圭恭賀堅定挺台的潘尼亞就職意義重大,相關節目都在規劃協調中,外交部將持續與相關部會、以及巴拉圭政府通力合作,妥善辦理這次專案出訪。",[],[],False,,03_Lai_chinatimes_news,2023-07-17 14:10:00,L1-05,7.3,boundary_semantic|l2_L2-06|l2_L2-10|has_speaker|has_target|claim|good_length,l1_gap_filling
_9e4eef8cbd19_u014,"透過 Google News 民眾黨候選人邱臣遠向對手張智倫、吳崢表示敬意,他說,雖政黨不同,但一起完成精彩的選舉,展現民主精神,也盼望張智倫能為中和帶來更好的建設與發展,為民服務。",claim,"吳崢說,新的國會面臨挑戰,希望大家繼續相挺台灣,也期待新當選立委的張智倫一起關心中和的發展。","邱臣遠說,面對藍綠夾殺,始終堅持正直誠信理念面對選戰,一步一腳印走完最後一哩路。","[{""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,02_Ke_chinatimes_news,2024-01-13 22:14:00,L1-05,7.3,boundary_semantic|l2_L2-02|l2_L2-03|has_speaker|has_target|claim|good_length,l1_gap_filling
