window_id,doc_id,source,date,full_text_with_sentence_marks,l2_set_str,community_id,sampling_weight,interpretive_notes
_54fec37dacb7_w0002,_54fec37dacb7,01_Ho_chinatimes_news,,"[2] 聯合國工作人員表示,幾天前收到中國施壓不得放行台灣記者。 [3] 侯友宜今天上午出席治安會報前接受媒體聯訪時說,台灣最重要的要自立自信,更要自強,聯合更多國際友人支持。 [4] 侯友宜表示,台灣面對困境,唯有靠自己往前走,WHA問題已多年沒解決,所以面對逆境,「我們的堅定力要更強」,風雨生信心,大家一起努力,讓國家可以參加WHA。",L2-01|L2-03|L2-05|L2-07,0,3.009970346578376,
_fa3e95a9e48e_w0004,_fa3e95a9e48e,01_Ho_ltn_news,,"[5] 陳玉坤致詞說,關渡宮300多年來扶持媽祖,堅持打造最美、最單純的媽祖信仰中心,集結所有社會良善的力量,讓台灣穩定,希望未來台灣在賴清德繼續領導下,能夠安全有尊嚴地在國際社會上立足,台灣人絕對有辦法為國際做出貢獻。 [6]  [7] 賴清德表示,關渡宮不僅是信仰重鎮,也是台灣公益化身,在2016年台南維冠大樓震災當中,關渡宮也捐贈1200萬讓台南市重建,在疫情期間也捐贈大筆防疫物資給北市府,相當有愛心。 [8] 他感謝陳玉坤的勉勵,希望未來能讓台灣不僅安全,也要有尊嚴,未來會協助包含台北市在內的各縣市政府,讓台灣每個城市都能均衡發展,處處安居、人人樂業。",L2-01|L2-03|L2-05|L2-06|L2-07,0,3.009886038985196,
_4dbd2eac54ee_w0005,_4dbd2eac54ee,01_Ho_chinatimes_news,,"[7] 而過去在國民黨執政時,台日關係談的都是貿易、經濟、文化,甚至休閒、旅遊等,這一回完全不一樣,談的都是台海危機。 [8] 侯友宜表示,台海危機是日本最關心的一件事,充分展現日方對台海危機的憂慮,包括麻生太郎都談到這些問題; [9]  [10] 透過 Google News 侯友宜指出,他非常清楚的展現自己的態度,認為兩岸要建立對話,避免戰爭,台灣也一定要不斷提升自我防衛能力,更重要的是要跟民主同盟合作,他很清楚的表達,態度也很堅定。",L2-01|L2-03|L2-05|L2-07|L2-08,0,3.0098663154492433,
_8651aff9a9d3_w0002,_8651aff9a9d3,01_Ho_ltn_news,,"[2] 對此,民進黨總統參選人賴清德強調,若他當選總統,兩岸發生戰爭的機率反而最低,「中華民國國號依舊在、國旗依舊隨風飄揚」。 [3]  [4] 賴表示,若他當總統,兩岸發生戰爭的機率是最低的,因為他最有能力守護國家的安全。 [5] 賴強調,國家安全或兩岸和平發展,不是靠中國的善意或向中國立投名狀,也不是接受九二共識放棄主權或接受以一個中國原則為前提的服務貿易協定與和平協定,台灣必須靠實力和民主陣營站在一起,共同發揮威懾的力量。",L2-01|L2-03|L2-05|L2-07|L2-08,0,3.009818059475425,
_00f09b143ff3_w0006,_00f09b143ff3,01_Ho_chinatimes_news,,"[11] 他人生最重要的目標是改變台灣政治制度,不可以總統獨大、不受監督,要給全民監督。 [12] 侯友宜呼籲集中選票,支持在野最強的侯康配,選舉剩下6天,1月13日是最尊敬的故總統蔣經國逝世紀念日,蔣經國教育大家要清廉、勤政、認真、打拚,蔣經國曾說,「今天如果不做,明天會後悔」; [13]  [14]  [15]  [16]  [17] 透過 Google News 王金平致詞時說,有6成民眾期待政黨輪替,選對的人和走對的路,就是選侯友宜,民進黨總統候選人賴清德心中只有台獨、廢核,這在國際上行不通,侯友宜一定會讓兩岸和平。",L2-01|L2-03|L2-04|L2-05|L2-07|L2-08,0,3.0097562235163675,
_2cb58e40c133_w0000,_2cb58e40c133,01_Ho_chinatimes_news,,"[0] (12/30 20:14 更新) (中央社記者游凱翔台北30日電)總統候選人辯論會今天登場,民眾黨總統候選人柯文哲指出,台灣跟中國可合作就合作、該競爭就競爭,須對抗還是要對抗,但民進黨「可合作也要對抗」、國民黨讓人擔心「必須對抗卻要合作」,台灣應在美國架構下求取最大利益。 [1]  [2] 賴清德:台灣與全球民主陣營站一起 不走國民黨老路 侯友宜質疑蔡總統外交路線 斷9邦交國、共機擾台 台視主播鄔凱雯提問,台美關係是台灣外交重中之重,也都認同必須維持良好關係,賴清德提到,若當選則延續總統蔡英文的外交路線; [3]  [4] 柯文哲針對台美關係則走蔡總統路線。",L2-01|L2-02|L2-03|L2-05|L2-08,0,3.0097182642606097,
_873d729e2cc3_w0004,_873d729e2cc3,01_Ho_chinatimes_news,,"[6] 侯友宜強調,他的能源政見非常清楚,包括供電無虞、永續轉型與以核減煤,核一、核二與核三會在確保安全無虞下延役,「讓我們符合世界潮流趨勢,也能讓經濟蓬勃發展」。 [7] 美日等20多國簽署宣言 要求全球核電產能提高3倍 葛來儀指投書重點:有效嚇阻需具備可靠威懾與保證 此外,針對媒體報導指美國學者葛來儀等人呼籲民進黨總統參選人賴清德若勝選應凍結台獨黨綱,但葛來儀認為遭斷章取義,未支持任何陣營。 [8] 侯友宜說,葛來儀是非常了解台灣的學者,她提出嚇阻、加強國防經費與提升自我防衛能力的看法都與自己一樣,他的國防「3D戰略」就是嚇阻(Deterrence)、對話(Dialogue)與降低風險(De-escalation)。",L2-01|L2-03|L2-05|L2-07,0,3.0096321122354937,
_a1f282dbd9cd_w0007,_a1f282dbd9cd,01_Ho_chinatimes_news,,"[7] 朱立倫強調,沒有這回事,台獨就是賴清德的DNA,這些過去傷害中華民國的所作所為,不會因為現在為了騙選票、騙國際人士而改變,國民黨也要清楚告訴國際人士,國民黨才能真正捍衛中華民國。 [8]  [9]  [10] 透過 Google News 他指出,台電負債已高達2兆4200億元,每個民眾的負擔超過10萬元以上,行政院副院長鄭文燦或財政部一定會說,這是隱藏性負債,但台電是100%國家產業,台電負債是誰來負擔。 [11] 朱立倫說,中華民國潛在負債是24兆多元,這就是民進黨執政掏空全民的表現,向綠能公司購買的每一度電價、是台電自己發電的2倍,這是掏空全民口袋;",L2-01|L2-03|L2-05|L2-06|L2-07,0,3.009592092728446,
_f6db20f1037c_w0007,_f6db20f1037c,01_Ho_ltn_news,,"[7] 賴清德表示,國際社會對台灣的一致看法是可以信賴的夥伴、充滿活力的民主,這是台灣的品牌價值,既為台灣帶來經濟繁榮,也為台灣帶來民主保障,這場選舉的結果將告訴全世界,這個品牌價值是否繼續維持提升,這個民主社會是否依舊活力滿滿、不怕困難,這塊土地上的人民始終保持善良、堅韌、樂觀、積極。 [8]  [9] 賴清德昨晚也在臉書分享與蔡英文總統、行政院長陳建仁開會的「工作日常」。 [10] 賴指出,他們討論的不是流量很高的話題,卻是國家需要被重視的事情,現階段國際情勢複雜,面對威權主義擴張、氣候變遷、淨零轉型及數位轉型等艱鉅挑戰,台灣必須維持均衡、開放、進步的正確方向,才能站穩國際舞台,同時也要持續尊重多元、關心弱勢、建立公義社會。",L2-01|L2-03|L2-05|L2-06|L2-07|L2-08,0,3.009532055249052,
_420c9d37f1e6_w0001,_420c9d37f1e6,01_Ho_ltn_news,,"[2] 許淑華表示,中華民國國軍在金門誓死抵抗共軍,守住中華民國的存續,更守住台灣往後數十年,以扎實的經濟和民主自由,向世界民主同盟深化交流的基礎,這是身在台灣的任何政黨、任何人,都無法否定的歷史事實。 [3] 許淑華認為,面對如今的兩岸局勢,必須感念過去國軍先烈的犧牲,更不能忘記先人們幾十年來的苦心經營與捨身捍衛,所打下的扎實民主自由與經濟基礎,這些是中華民國的根,是台灣人民的本。 [4] 許淑華指出,八二三砲戰原先該是感念先烈守護中華民國台灣的紀念日,但令人遺憾的是,意圖參選總統的鴻海創辦人郭台銘把重要日子當成選舉造勢場,拋出表面打高空,實則意在與國民黨爭政治地盤的主張,把國軍的犧牲當成自己造勢的子彈。",L2-01|L2-03|L2-04|L2-05|L2-06|L2-08,0,3.0094885792671535,
